_id,title,통검url3,통검노출,PDF 노출,비고
68d0f1fcd8b2ed02dfd9af3d,급성기 뇌졸중 환자의 삶의 질,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf219&query=급성기 뇌졸중 환자의 삶의 질,Y,N,급성기 뇌졸중 환자의 삶의 질에 영향을 미치는 요인 - 대한인지재활학회
68d0f1fcd8b2ed02dfd9af20,국민건강보험 발전방향,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf203&query=국민건강보험 발전방향,Y,N,고령화시대 국민건강보험의 발전방향 - 가우언대학교 비교법학연구소
68d0f1fbd8b2ed02dfd94cb9,서울시 뉴타운사업의 효율적인 추진을 위한 제도개선방안 연구,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf66&query=서울시 뉴타운사업의 효율적인 추진을 위한 제도개선방안 연구,Y,N,서울시 환경정보시스템 구축방안
68d0f1fcd8b2ed02dfd955b9,고령운전자 운전면허 제도의 개선과제,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf126&query=고령운전자 운전면허 제도의 개선과제,Y,N,고령 운전자를 위한 조건부 운전면허제도 개선방향 연구 - 한국ITS학회
68d0f1fbd8b2ed02dfd94d86,컨버전스 미디어 서비스 시장의 안정적 발전을 위한 정책과제,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf55&query=컨버전스 미디어 서비스 시장의 안정적 발전을 위한 정책과제,Y,N,
68d0f1fbd8b2ed02dfd94cb3,서울시 환경정보시스템 구축방안,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf63&query=서울시 환경정보시스템 구축방안,Y,N,
68d0f1fcd8b2ed02dfd98199,세엽 한국들잔디 변이체 식별을 위한 SCAR 마커 개발,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf168&query=세엽 한국들잔디 변이체 식별을 위한 SCAR 마커 개발,Y,N,
68d0f1fcd8b2ed02dfd99625,무응답 자료 처치모형을 이용한 서울시 수돗물 수질개선편익 추정,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf172&query=무응답 자료 처치모형을 이용한 서울시 수돗물 수질개선편익 추정,Y,N,
68d0f1fcd8b2ed02dfd9aac6,수상 및 수중 운동체의 강인 안정성 해석 및 안정화에 관한 연구,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf181&query=수상 및 수중 운동체의 강인 안정성 해석 및 안정화에 관한 연구,Y,N,
68d0f1fcd8b2ed02dfd9aed2,임신 제 삼삼분기에 산전 초음파로 진단된 태아 창자꼬임,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf188&query=임신 제 삼삼분기에 산전 초음파로 진단된 태아 창자꼬임,Y,N,
68d0f1fcd8b2ed02dfd9aed3,초등학생 비만관리프로그램 개발을 위한 예비연구 - Keller의 동기이론을 중심으로 -,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf189&query=초등학생 비만관리프로그램 개발을 위한 예비연구 - Keller의 동기이론을 중심으로 -,Y,N,
68d0f1fcd8b2ed02dfd9aef6,도시거주 노인의 건강행위 비이행도와 관련된 환경적 요인,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf190&query=도시거주 노인의 건강행위 비이행도와 관련된 환경적 요인,Y,N,
68d0f1fcd8b2ed02dfd9af05,일차의료에 내원한 부부를 대상으로 한 우울증상을 가진 환자의 생활습관,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf192&query=일차의료에 내원한 부부를 대상으로 한 우울증상을 가진 환자의 생활습관,Y,N,
68d0f1fcd8b2ed02dfd9af07,중환임상중독환자의 상황 인지와 대처 방법에 대한 시뮬레이션 교육의 효과 연구,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf193&query=중환임상중독환자의 상황 인지와 대처 방법에 대한 시뮬레이션 교육의 효과 연구,Y,N,
68d0f1fcd8b2ed02dfd9af0c,급속진행성치주염 환자로부터 배양분리한 Porphyromonas gingivalis균주의 ribotyping,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf194&query=급속진행성치주염 환자로부터 배양분리한 Porphyromonas gingivalis균주의 ribotyping,Y,N,
68d0f1fcd8b2ed02dfd9af0d,대상포진 급성기에 시행한 경막외 차단술의 효과,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf195&query=대상포진 급성기에 시행한 경막외 차단술의 효과,Y,N,
68d0f1fcd8b2ed02dfd9af0e,혈구포식림프조직구증 환자에서의 치료적 혈장교환술 시행 증례보고,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf196&query=혈구포식림프조직구증 환자에서의 치료적 혈장교환술 시행 증례보고,Y,N,
68d0f1fcd8b2ed02dfd9af10,Mirizzi 증후군의 임상적 고찰,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf197&query=Mirizzi 증후군의 임상적 고찰,Y,N,
68d0f1fcd8b2ed02dfd9af13,흥분-수축 분리제가 심실세동의 동력학에 미치는 영향,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf200&query=흥분-수축 분리제가 심실세동의 동력학에 미치는 영향,Y,N,
68d0f1fcd8b2ed02dfd9af19,국내 병원간호사의 재직 영향요인: 체계적 문헌고찰 및 메타분석,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf202&query=국내 병원간호사의 재직 영향요인: 체계적 문헌고찰 및 메타분석,Y,N,
68d0f1fcd8b2ed02dfd9af2e,Full mouth disinfection therapy의 단기간 임상 효과 연구,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf211&query=Full mouth disinfection therapy의 단기간 임상 효과 연구,Y,N,
68d0f1fcd8b2ed02dfd9af30,류마토이드 관절염에서 후방십자인대 보존형 무시멘트 슬관절 전치환술,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf212&query=류마토이드 관절염에서 후방십자인대 보존형 무시멘트 슬관절 전치환술,Y,N,
68d0f1fcd8b2ed02dfd9af32,생후 첫 1주간 기계적 환기요법을 받는 극소 저출생 체중아에서 기관지 폐이형성증 발생의 조기 예측,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf214&query=생후 첫 1주간 기계적 환기요법을 받는 극소 저출생 체중아에서 기관지 폐이형성증 발생의 조기 예측,Y,N,
68d0f1fcd8b2ed02dfd9af33,복부-골반 전산화단층촬영을 이용한 Fitz-Hugh-Curtis 증후군 진단의 유용성,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf215&query=복부-골반 전산화단층촬영을 이용한 Fitz-Hugh-Curtis 증후군 진단의 유용성,Y,N,
68d0f1fcd8b2ed02dfd9af34,백서 코점막에서 발육에 따른 백혈구형 12-Lipoxygenase의 발현,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf216&query=백서 코점막에서 발육에 따른 백혈구형 12-Lipoxygenase의 발현,Y,N,
68d0f1fcd8b2ed02dfd9af3e,간호학 연구의 동향과 전망 - 분야별 간호학회지를 중심으로,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf220&query=간호학 연구의 동향과 전망 - 분야별 간호학회지를 중심으로,Y,N,
68d0f1fcd8b2ed02dfd9af41,NK/T 세포 림프종 환자에서 시행된 비골수제거성 조혈모세포이식,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf222&query=NK/T 세포 림프종 환자에서 시행된 비골수제거성 조혈모세포이식,Y,N,
68d0f1fcd8b2ed02dfd9af42,Urokinase 국소 주입법으로 치료한 호산구 증다증에 동반된 대량 심부정맥 혈전증 1례,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf223&query=Urokinase 국소 주입법으로 치료한 호산구 증다증에 동반된 대량 심부정맥 혈전증 1례,Y,N,
68d0f1fcd8b2ed02dfd9af4d,유두상 갑상선 암의 큰 세포 변이(Tall Cell Variant),https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf226&query=유두상 갑상선 암의 큰 세포 변이(Tall Cell Variant),Y,N,
68d0f1fcd8b2ed02dfd9af4e,삼음교 지압에 따른 산부의 제왕절개율 차이,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf227&query=삼음교 지압에 따른 산부의 제왕절개율 차이,Y,N,
68d0f1fcd8b2ed02dfd9af51,스트론튬 이온이 무모 생쥐의 표피 투과 장벽 회복에 미치는 영향,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf230&query=스트론튬 이온이 무모 생쥐의 표피 투과 장벽 회복에 미치는 영향,Y,N,
68d0f1fcd8b2ed02dfd9af52,우리나라 여성의 만혼(晩婚)이 첫 출산간격에 미치는 영향,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf231&query=우리나라 여성의 만혼(晩婚)이 첫 출산간격에 미치는 영향,Y,N,
68d0f1fcd8b2ed02dfd9af54,재발성 갑상선 유두암에 대한 경피적 에탄올 주입술의 치료효과,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf232&query=재발성 갑상선 유두암에 대한 경피적 에탄올 주입술의 치료효과,Y,N,
68d0f1fcd8b2ed02dfd9af55,양측 전장에 간질 병소를 보인 간질중첩으로 발현한 섬엽간질 1예,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf233&query=양측 전장에 간질 병소를 보인 간질중첩으로 발현한 섬엽간질 1예,Y,N,
68d0f1fcd8b2ed02dfd9af59,갑상선암의 방사성 옥소 치료 시 전처치와 고려사항,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf235&query=갑상선암의 방사성 옥소 치료 시 전처치와 고려사항,Y,N,
68d0f1fcd8b2ed02dfd9af5b,단일기관에서 시행한 배우자간 신장이식의 결과,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf236&query=단일기관에서 시행한 배우자간 신장이식의 결과,Y,N,
68d0f1fcd8b2ed02dfd9af5e,Elastic Wire를 이용한 손발톱내성장증의 치료 1예,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf237&query=Elastic Wire를 이용한 손발톱내성장증의 치료 1예,Y,N,
68d0f1fcd8b2ed02dfd9b885,담관 낭종 절제 후 발생한 문합부 협착을 자석 압박 문합술로 치료한 1예,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf240&query=담관 낭종 절제 후 발생한 문합부 협착을 자석 압박 문합술로 치료한 1예,Y,N,
68d0f1fcd8b2ed02dfd9be8c,휴면기간이 짧은 칩가공용 2기작감자 신품종 '고운',https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf244&query=휴면기간이 짧은 칩가공용 2기작감자 신품종 '고운',Y,N,
68d0f1fcd8b2ed02dfd9beda,위협 모델링 기법을 이용한 펨토셀 취약점 분석에 대한 연구,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf247&query=위협 모델링 기법을 이용한 펨토셀 취약점 분석에 대한 연구,Y,N,
68d0f1fdd8b2ed02dfd9d910,국내 육성 옥수수 품종의 곡실 성분 특성,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf269&query=국내 육성 옥수수 품종의 곡실 성분 특성,Y,N,
68d0f1fcd8b2ed02dfd9af3c,Compressed Spectral Array를 이용한 뇌허혈 증상에 대한 뇌보호방법 정립에 관한 임상실험,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf218&query=Compressed Spectral Array를 이용한 뇌허혈 증상에 대한 뇌보호방법 정립에 관한 임상실험,N,N,검색결과가 1개
68d0f1fbd8b2ed02dfd94d13,서울시 외국인 투자경영환경과 투자유치를 위한 과제,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=서울시 외국인 투자경영환경과 투자유치를 위한 과제,N,N,
68d0f1fbd8b2ed02dfd94d1b,도시개발에 따른 개발이익 환수실태 및 제도개선 방향 연구,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf13&query=도시개발에 따른 개발이익 환수실태 및 제도개선 방향 연구,N,N,
68d0f1fbd8b2ed02dfd94d1d,저탄소ㆍ저비용형 서울시 분뇨처리권역 재설정기법 개발 연구,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf14&query=저탄소ㆍ저비용형 서울시 분뇨처리권역 재설정기법 개발 연구,N,N,
68d0f1fbd8b2ed02dfd94d20,1인가구를 위한 소형임대주택 공급확대 방안,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf15&query=1인가구를 위한 소형임대주택 공급확대 방안,N,N,
68d0f1fbd8b2ed02dfd94d88,연구개발서비스업 활성화 방안,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf56&query=연구개발서비스업 활성화 방안,N,N,
68d0f1fbd8b2ed02dfd94cac,전문가 의견 및 설문 조사: 도심명소로서 청계천의 미래상,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf59&query=전문가 의견 및 설문 조사: 도심명소로서 청계천의 미래상,N,N,
68d0f1fbd8b2ed02dfd94cb0,문화산업의 현황 및 육성정책,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf61&query=문화산업의 현황 및 육성정책,N,N,
68d0f1fbd8b2ed02dfd94cbb,교통카드 데이터를 활용한 OD 추정 및 활용,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf67&query=교통카드 데이터를 활용한 OD 추정 및 활용,N,N,
68d0f1fbd8b2ed02dfd94cbd,서울시 사회적 경제 사업체 연계발전 방안,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf68&query=서울시 사회적 경제 사업체 연계발전 방안,N,N,
68d0f1fbd8b2ed02dfd94cbf,서울시 방과후학교 어떻게 활성화할 것인가?,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf69&query=서울시 방과후학교 어떻게 활성화할 것인가?,N,N,
68d0f1fbd8b2ed02dfd94cc1,2012년 3/4분기 서울지역 소비자 및 기업 체감경기 전망,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf70&query=2012년 3/4분기 서울지역 소비자 및 기업 체감경기 전망,N,N,
68d0f1fbd8b2ed02dfd94e56,화장품 소재로서 밀싹 추출물의 고온 보존이 항산화력 및 경피 수분 증발량에 미치는 영향,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf114&query=화장품 소재로서 밀싹 추출물의 고온 보존이 항산화력 및 경피 수분 증발량에 미치는 영향,N,N,
68d0f1fcd8b2ed02dfd97666,사하라이남 아프리카지역의 종족갈등과 빈곤,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf162&query=사하라이남 아프리카지역의 종족갈등과 빈곤,N,N,
68d0f1fcd8b2ed02dfd9791b,비이공계열 대학 신입생을 위한 해커톤 프로그램의 효과 분석 : 도전성향 동기에 따른 문제해결능력과 자기효능감을 중심으로,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf163&query=비이공계열 대학 신입생을 위한 해커톤 프로그램의 효과 분석 : 도전성향 동기에 따른 문제해결능력과 자기효능감을 중심으로,N,N,
68d0f1fcd8b2ed02dfd98638,한국에 서식하는 주요 시식성 파리종에 대한 성장 속도 실험에 대한 문헌 조사 및 최소사후경과시간 추정에의 적용을 위한 고찰,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf169&query=한국에 서식하는 주요 시식성 파리종에 대한 성장 속도 실험에 대한 문헌 조사 및 최소사후경과시간 추정에의 적용을 위한 고찰,N,N,
68d0f1fcd8b2ed02dfd98e52,다소성 갑상선 유리질소주형 종양 1예,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf170&query=다소성 갑상선 유리질소주형 종양 1예,N,N,
68d0f1fcd8b2ed02dfd9a987,외부 생식기 피부 질환,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf173&query=외부 생식기 피부 질환,N,N,
68d0f1fcd8b2ed02dfd9a9e7,이하선에 전이된 신세포암 1예,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf174&query=이하선에 전이된 신세포암 1예,N,N,
68d0f1fcd8b2ed02dfd9aa1f,부인과 영역의 보완의학,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf178&query=부인과 영역의 보완의학,N,N,
68d0f1fcd8b2ed02dfd9aa41,각막굴절교정수술 후 인공수정체 도수 결정시 Orbscan II 비디오각막경의 유용성,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf180&query=각막굴절교정수술 후 인공수정체 도수 결정시 Orbscan II 비디오각막경의 유용성,N,N,
68d0f1fcd8b2ed02dfd9b39b,"인지행동요법을 적용한 스트레스관리 프로그램이 소방공무원의 문제중심 대처방식	 직무 스트레스 및 우울에 미치는 효과","https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf183&query=인지행동요법을 적용한 스트레스관리 프로그램이 소방공무원의 문제중심 대처방식	 직무 스트레스 및 우울에 미치는 효과",N,N,
68d0f1fcd8b2ed02dfd9b45b,섬유주절제술 후 시행한 백내장수술이 수술 후 초기 안압 상승에 미치는 위험인자,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf185&query=섬유주절제술 후 시행한 백내장수술이 수술 후 초기 안압 상승에 미치는 위험인자,N,N,
68d0f1fcd8b2ed02dfd9aece,일부 만성 중증 정신질환자의 약물 복용에 따른 구강건조증상과 자극성 타액분비율,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf186&query=일부 만성 중증 정신질환자의 약물 복용에 따른 구강건조증상과 자극성 타액분비율,N,N,
68d0f1fcd8b2ed02dfd9af03,"상급종합병원 간호사의 노인에 대한 지식	 태도 및 노인간호수행도","https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf191&query=상급종합병원 간호사의 노인에 대한 지식	 태도 및 노인간호수행도",N,N,
68d0f1fcd8b2ed02dfd9af12,간경변증 환자에서 일회성 대량 복수천자에 따른 혈역동학적 변화 -혈장증량제로서 알부민 투여가 미치는 영향을 중심으로,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf199&query=간경변증 환자에서 일회성 대량 복수천자에 따른 혈역동학적 변화 -혈장증량제로서 알부민 투여가 미치는 영향을 중심으로,N,N,
68d0f1fcd8b2ed02dfd9af18,"의치사용자의 구강건강	 의치관리 및 의치건강보험 인식에 대한 실태 조사","https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf201&query=의치사용자의 구강건강	 의치관리 및 의치건강보험 인식에 대한 실태 조사",N,N,
68d0f1fcd8b2ed02dfd9af21,척수손상 환자의 자가관리 역량과 사회적 지지가 자가관리 이행에 미치는 영향,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf204&query=척수손상 환자의 자가관리 역량과 사회적 지지가 자가관리 이행에 미치는 영향,N,N,
68d0f1fcd8b2ed02dfd9af23,응급진료센터에 내원한 ST 분절 상승 심근 경색 환자에서 혈소판 용적 지표의 연속 측정을 통한 30일 사망률 예측의 유용성,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf205&query=응급진료센터에 내원한 ST 분절 상승 심근 경색 환자에서 혈소판 용적 지표의 연속 측정을 통한 30일 사망률 예측의 유용성,N,N,
68d0f1fcd8b2ed02dfd9af27,공기청정기 사용으로 인한 실내 미세먼지 제어 및 위해 저감 - 가정집(원룸)을 대상으로,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf206&query=공기청정기 사용으로 인한 실내 미세먼지 제어 및 위해 저감 - 가정집(원룸)을 대상으로,N,N,
68d0f1fcd8b2ed02dfd9af29,대장암의 분자 분류와 임상 적용,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf207&query=대장암의 분자 분류와 임상 적용,N,N,
